user_id,skill_name,correct,guess,slip,prior
synthetic,maupay nga aga,1,0.2,0.1,0.5
synthetic,maupay nga aga,1,0.2,0.1,0.5
synthetic,maupay nga aga,1,0.2,0.1,0.5
synthetic,maupay nga aga,1,0.2,0.1,0.5
synthetic,maupay nga aga,1,0.2,0.1,0.5
synthetic,gihapon,1,0.2,0.1,0.5
synthetic,gihapon,1,0.2,0.1,0.5
synthetic,gihapon,1,0.2,0.1,0.5
synthetic,gihapon,1,0.2,0.1,0.5
synthetic,gihapon,1,0.2,0.1,0.5
synthetic,kamusta ka,1,0.2,0.1,0.5
synthetic,kamusta ka,1,0.2,0.1,0.5
synthetic,kamusta ka,1,0.2,0.1,0.5
synthetic,kamusta ka,1,0.2,0.1,0.5
synthetic,kamusta ka,1,0.2,0.1,0.5
synthetic,ikaw,1,0.2,0.1,0.5
synthetic,ikaw,1,0.2,0.1,0.5
synthetic,ikaw,1,0.2,0.1,0.5
synthetic,ikaw,1,0.2,0.1,0.5
synthetic,ikaw,1,0.2,0.1,0.5
synthetic,okay la ako,1,0.21000000000000002,0.10500000000000001,0.5
synthetic,okay la ako,1,0.21000000000000002,0.10500000000000001,0.5
synthetic,okay la ako,1,0.21000000000000002,0.10500000000000001,0.5
synthetic,okay la ako,1,0.21000000000000002,0.10500000000000001,0.5
synthetic,okay la ako,1,0.21000000000000002,0.10500000000000001,0.5
synthetic,maupay nga kulop,1,0.21000000000000002,0.10500000000000001,0.5
synthetic,maupay nga kulop,1,0.21000000000000002,0.10500000000000001,0.5
synthetic,maupay nga kulop,1,0.21000000000000002,0.10500000000000001,0.5
synthetic,maupay nga kulop,1,0.21000000000000002,0.10500000000000001,0.5
synthetic,maupay nga kulop,1,0.21000000000000002,0.10500000000000001,0.5
synthetic,kulop,1,0.26,0.13,0.5
synthetic,kulop,1,0.26,0.13,0.5
synthetic,kulop,1,0.26,0.13,0.5
synthetic,kulop,1,0.26,0.13,0.5
synthetic,kulop,1,0.26,0.13,0.5
synthetic,diri,1,0.21000000000000002,0.10500000000000001,0.5
synthetic,diri,1,0.21000000000000002,0.10500000000000001,0.5
synthetic,diri,1,0.21000000000000002,0.10500000000000001,0.5
synthetic,diri,1,0.21000000000000002,0.10500000000000001,0.5
synthetic,diri,1,0.21000000000000002,0.10500000000000001,0.5
synthetic,it,1,0.21000000000000002,0.10500000000000001,0.5
synthetic,it,1,0.21000000000000002,0.10500000000000001,0.5
synthetic,it,1,0.21000000000000002,0.10500000000000001,0.5
synthetic,it,1,0.21000000000000002,0.10500000000000001,0.5
synthetic,it,1,0.21000000000000002,0.10500000000000001,0.5
synthetic,gab-i,1,0.22000000000000003,0.11000000000000001,0.5
synthetic,gab-i,1,0.22000000000000003,0.11000000000000001,0.5
synthetic,gab-i,1,0.22000000000000003,0.11000000000000001,0.5
synthetic,gab-i,1,0.22000000000000003,0.11000000000000001,0.5
synthetic,gab-i,1,0.22000000000000003,0.11000000000000001,0.5
synthetic,ano it imo ngaran?,1,0.22000000000000003,0.11000000000000001,0.5
